Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.5640000000000001, space, 2.2780000000000005, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:37:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 8.713000000000001, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:37:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 13.351000000000003, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:37:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 2.0109999999999957, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:37:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 7.615000000000002, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:37:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 11.521999999999998, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:37:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 5.902000000000001, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:37:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 11.606000000000009, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:37:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.6569999999999965, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:37:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 6.500999999999991, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:37:42 GMT-0400 (EDT), Ultimate_Frisbee, 60
