Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.2749999999999986, space, 4.723000000000001, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 11.239, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 15.647999999999996, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 1.1739999999999995, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 11.673000000000002, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 9.004999999999995, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 8.91000000000001, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 5.939999999999998, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 3.3829999999999956, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 1.7820000000000107, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 1.7000000000000028, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 0.24800000000000466, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 0.21699999999999875, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 0.8910000000000053, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , 0, 3.790999999999997, space, 7.256, left, 2.4569999999999936, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.3910000000000053, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 2.0660000000000025, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.332000000000022, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.8080000000000211, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.8000000000000114, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.9329999999999927, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.1330000000000098, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , space, 8.741000000000014, left, 1, 1.1920000000000073, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 0, 0, 0, 1, 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.9329999999999927, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 0, 1, 1, 6, 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.6750000000000114, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 5, 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.1920000000000073, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 0, 3, 3, 9, 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.0749999999999886, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 0, 4, 4, 8, 40632896, Wed Nov 15 2017 14:16:57 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
