Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 2.2390000000000008, space, 5.000000000000002, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 41685255, Wed Oct 04 2017 12:56:50 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 14.609999999999996, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 41685255, Wed Oct 04 2017 12:56:50 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 11.549999999999997, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 41685255, Wed Oct 04 2017 12:56:50 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.0670000000000002, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 41685255, Wed Oct 04 2017 12:56:50 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 8.178000000000004, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 41685255, Wed Oct 04 2017 12:56:50 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 22.051000000000002, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 41685255, Wed Oct 04 2017 12:56:50 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 15.143, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 41685255, Wed Oct 04 2017 12:56:50 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 14.432999999999993, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 41685255, Wed Oct 04 2017 12:56:50 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.9660000000000082, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 41685255, Wed Oct 04 2017 12:56:50 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.766999999999996, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 41685255, Wed Oct 04 2017 12:56:50 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
