Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.173, space, 7.122999999999999, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 13.446000000000002, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 13.311, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.613999999999997, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 11.896999999999998, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.635000000000005, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.46799999999999, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 17.777, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.2779999999999916, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.3289999999999935, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.594999999999999, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.0210000000000008, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.765000000000001, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.6059999999999945, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , 0, 4.028999999999996, space, 6.989000000000004, left, 1.320999999999998, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.2860000000000014, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.6370000000000005, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.8680000000000234, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.254000000000019, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.8700000000000045, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.9699999999999989, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.0689999999999884, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , space, 11.605000000000018, right, 1, 1.086999999999989, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 0, 0, 0, 4, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.667999999999978, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 0, 1, 1, 2, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.7529999999999859, , , , , , , , , , , , frizNearRight.jpg, The force is backhand., left, , , , , frizNearRight.jpg, The force is backhand., left, 0, 2, 2, 7, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.5860000000000127, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 11, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.7680000000000007, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 0, 4, 4, 10, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.9860000000000184, , , , , , , , , , , , frizNearRight.jpg, The force is away., left, , , , , frizNearRight.jpg, The force is away., left, 0, 5, 5, 15, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.1699999999999875, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 0, 6, 6, 1, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.8859999999999957, , , , , , , , , , , , frizNearRight.jpg, The force is forehand., right, , , , , frizNearRight.jpg, The force is forehand., right, 0, 7, 7, 3, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.9050000000000011, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 0, 8, 8, 14, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.0039999999999907, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 0, 9, 9, 5, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.8700000000000045, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 0, 10, 10, 8, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.9370000000000118, , , , , , , , , , , , frizFarLeft.jpg, The force is away., right, , , , , frizFarLeft.jpg, The force is away., right, 0, 11, 11, 12, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.0379999999999825, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 0, 12, 12, 6, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.6680000000000064, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 0, 13, 13, 13, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.9710000000000036, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 0, 14, 14, 0, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.7350000000000136, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 0, 15, 15, 9, 43843481, Mon Aug 28 2017 23:32:40 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
