Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.2350000000000003, space, 12.063, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.96, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.1650000000000063, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.7310000000000016, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.984999999999999, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 10.644999999999996, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.482000000000006, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.063000000000002, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.835000000000008, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.994, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.579999999999998, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.7990000000000066, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.7659999999999911, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.948999999999998, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , 0, 2.0670000000000073, space, 0.6319999999999908, left, 1.581000000000003, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.3320000000000078, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.649000000000001, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.2789999999999964, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 2.01400000000001, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.179000000000002, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.3489999999999895, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.4489999999999839, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , space, 1.304000000000002, left, 1, 1.9170000000000016, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 0, 0, 0, 13, 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.0819999999999936, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 0, 1, 1, 0, 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.931999999999988, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 0, 2, 2, 10, 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.5510000000000161, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 11, 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.1170000000000186, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 0, 4, 4, 1, 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.9990000000000236, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 0, 5, 5, 2, 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.3129999999999882, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 0, 6, 6, 6, 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.0339999999999918, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 0, 7, 7, 8, 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.1610000000000014, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 0, 8, 8, 9, 49320823, Sun Aug 20 2017 12:14:52 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
