Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 2.867000000000001, space, 5.583, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 13.784999999999997, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 7.75, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 1.732999999999997, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 12.852000000000004, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 13.434999999999995, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 11.850999999999999, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 7.682999999999993, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 5.834000000000003, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 4.099999999999994, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 2.8499999999999943, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.4170000000000016, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 1.2169999999999987, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 1.9339999999999975, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , 0, 2.6670000000000016, space, 5.317999999999984, left, 3.0660000000000025, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.4660000000000082, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 2, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.1839999999999975, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , left, 1.5490000000000066, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 0.9990000000000236, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.1169999999999902, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , left, 1.549999999999983, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , space, 4.317000000000007, right, 1, 1.117999999999995, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 0, 0, 0, 2, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.4329999999999927, , , , , , , , , , , , frizFarLeft.jpg, The force is away., right, , , , , frizFarLeft.jpg, The force is away., right, 0, 1, 1, 12, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.549999999999983, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 0, 2, 2, 0, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.1169999999999902, , , , , , , , , , , , frizNearRight.jpg, The force is backhand., left, , , , , frizNearRight.jpg, The force is backhand., left, 0, 3, 3, 7, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.9830000000000041, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 0, 4, 4, 9, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.7489999999999952, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 0, 5, 5, 4, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.3160000000000025, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 0, 6, 6, 13, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.3169999999999789, , , , , , , , , , , , frizNearRight.jpg, The force is forehand., right, , , , , frizNearRight.jpg, The force is forehand., right, 0, 7, 7, 3, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.4000000000000057, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 0, 8, 8, 14, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.1659999999999968, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 0, 9, 9, 11, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.8500000000000227, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 0, 10, 10, 10, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.5839999999999748, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 0, 11, 11, 5, 6061126, Mon Aug 21 2017 12:45:16 GMT-0400 (EDT), Ultimate_Frisbee, 60
