Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 5.883000000000001, space, 5.600999999999999, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 17.834, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 2.4170000000000016, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 2.049999999999997, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 14.767000000000003, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 30.816999999999993, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 0.4000000000000057, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 9.733999999999995, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 0.8490000000000038, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 14.634, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 2.3830000000000098, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 11.466000000000008, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 4.165999999999997, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 2.5670000000000073, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
, , , , 0, 2.7510000000000048, space, 0.23399999999998045, left, 2.552000000000021, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 68116738, Wed Nov 15 2017 16:13:37 GMT-0500 (EST), Ultimate_Frisbee, 60
