Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 6.331999999999999, space, 3.465, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.0340000000000025, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.7510000000000012, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.2319999999999993, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.817, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.9510000000000005, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.7169999999999987, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.231999999999999, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.5330000000000013, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.2180000000000035, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.7669999999999959, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.36700000000000443, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.9849999999999994, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.016999999999996, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , 0, 1.4650000000000034, space, 0.8170000000000073, left, 1.198999999999998, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.8999999999999915, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.847999999999999, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.7480000000000047, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 0.9170000000000016, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.7150000000000034, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 0.8819999999999908, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.065000000000012, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , space, 1.0819999999999936, left, 1, 0.7659999999999911, , , , , , , , , , , , frizNearRight.jpg, The force is backhand., left, , , , , frizNearRight.jpg, The force is backhand., left, 0, 0, 0, 7, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.9329999999999927, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 0, 1, 1, 0, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.8340000000000032, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 0, 2, 2, 9, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.6329999999999814, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 11, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.0999999999999943, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 0, 4, 4, 8, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 0, 5, 5, 6, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 0.9480000000000075, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 0, 6, 6, 5, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.8669999999999902, , , , , , , , , , , , frizNearRight.jpg, The force is away., left, , , , , frizNearRight.jpg, The force is away., left, 0, 7, 7, 15, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.8160000000000025, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 0, 8, 8, 4, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.650999999999982, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 0, 9, 9, 1, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.8499999999999943, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 0, 10, 10, 14, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.8170000000000073, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 0, 11, 11, 2, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.8330000000000268, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 0, 12, 12, 10, 72765732, Tue Sep 05 2017 21:00:10 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
