Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.984, space, 4.085000000000001, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 78764541, Sun Aug 20 2017 12:32:57 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 19.207, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 78764541, Sun Aug 20 2017 12:32:57 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 13.052999999999997, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 78764541, Sun Aug 20 2017 12:32:57 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.902000000000001, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 78764541, Sun Aug 20 2017 12:32:57 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 12.204999999999998, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 78764541, Sun Aug 20 2017 12:32:57 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 26.942999999999998, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 78764541, Sun Aug 20 2017 12:32:57 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.387, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 78764541, Sun Aug 20 2017 12:32:57 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 10.588000000000008, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 78764541, Sun Aug 20 2017 12:32:57 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.582000000000008, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 78764541, Sun Aug 20 2017 12:32:57 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.934999999999988, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 78764541, Sun Aug 20 2017 12:32:57 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
