Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 2.117, space, 2.9480000000000004, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 13.178, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.464000000000002, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.7310000000000016, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.512999999999998, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 14.562999999999995, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.6370000000000005, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.147000000000006, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.7489999999999952, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.9980000000000047, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.5499999999999972, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.13300000000000978, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 7889786, Wed Aug 23 2017 16:23:32 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
