Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.7520000000000007, space, 2.436, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:16:24 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.6240000000000006, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:16:24 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.122, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:16:24 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.3509999999999991, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:16:24 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.3210000000000015, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:16:24 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.036000000000001, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:16:24 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.3860000000000028, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:16:24 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.086999999999996, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:16:24 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.1509999999999962, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:16:24 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.5679999999999978, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:16:24 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
