Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.33199999999999985, space, 1.8840000000000003, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:47:36 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 10.134, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:47:36 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.43299999999999983, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:47:36 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.015999999999998238, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:47:36 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.4840000000000018, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:47:36 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.6670000000000016, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:47:36 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.7330000000000005, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:47:36 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.1660000000000004, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:47:36 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.3669999999999973, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:47:36 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.167000000000002, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:47:36 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
