Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.184000000000001, space, 4.25, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 16.268, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 11.350999999999999, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.1829999999999927, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 21.486000000000004, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 16.384, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 11.185000000000002, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 7.134, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 12.435000000000002, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 9.917999999999978, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 4.199999999999989, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.217000000000013, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.9339999999999975, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 11.234000000000009, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , 0, 29.138000000000005, space, 5.100999999999999, left, 3.048000000000002, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.2309999999999945, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.9329999999999927, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 0.9140000000000157, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , left, 1.3160000000000025, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 0.9660000000000082, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.2989999999999782, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , left, 1.6829999999999927, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , space, 8.750999999999976, right, 1, 1.5670000000000073, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 0, 0, 0, 4, 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.3999999999999773, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 0, 1, 1, 0, 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.065999999999974, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 0, 2, 2, 6, 90544723, Thu Oct 19 2017 19:32:25 GMT-0400 (EDT), Ultimate_Frisbee, 60
