Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.8649999999999984, space, 4.505999999999997, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 16.678, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 14.028000000000006, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 2.378, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 17.941000000000003, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 13.468000000000004, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 16.911, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 10.325999999999993, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 4.007000000000005, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 6.418000000000006, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.125, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 2.3770000000000095, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 1.3629999999999995, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 0.03299999999998704, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , 0, 0.9809999999999945, space, 6.036000000000001, left, 4.006, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.2949999999999875, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 2.959000000000003, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 0.7800000000000011, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , left, 1.429000000000002, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 0.9799999999999898, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.429000000000002, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , left, 1.2450000000000045, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , space, 29.180000000000007, left, 1, 1.1970000000000027, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.4989999999999952, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 0, 1, 1, 4, 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.7630000000000337, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 5, 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.1140000000000327, , , , , , , , , , , , frizNearRight.jpg, The force is backhand., left, , , , , frizNearRight.jpg, The force is backhand., left, 0, 3, 3, 7, 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 1.01400000000001, , , , , , , , , , , , frizNearRight.jpg, The force is away., left, , , , , frizNearRight.jpg, The force is away., left, 0, 4, 4, 15, 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.3629999999999995, , , , , , , , , , , , frizNearRight.jpg, The force is forehand., right, , , , , frizNearRight.jpg, The force is forehand., right, 0, 5, 5, 3, 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.1959999999999695, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 0, 6, 6, 2, 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.2469999999999573, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 0, 7, 7, 14, 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.2139999999999986, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 0, 8, 8, 11, 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.0130000000000337, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 0, 9, 9, 8, 92676929, Sun Aug 20 2017 10:48:10 GMT-0400 (EDT), Ultimate_Frisbee, 60
