Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.7829999999999995, space, 3.785000000000001, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 8.917, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 6.933, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 0.7149999999999999, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 5.731999999999999, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 4.6839999999999975, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 0.9010000000000034, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 5.332999999999998, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 22.865000000000002, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 9.066000000000003, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 0.532999999999987, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 0.16599999999999682, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 4.266000000000005, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 18:06:19 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
