Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.6929999999999978, space, 5.259, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 16.664, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 16.843000000000004, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 2.8359999999999985, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 20.501000000000005, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 26.47, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 5.2590000000000146, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 10.89500000000001, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 10.221000000000004, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 5.453000000000003, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 8.989000000000004, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 3.9539999999999793, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 11.045000000000016, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , space, 12.619, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , 0, 3.133999999999986, space, 2.688999999999993, left, 0.35599999999999454, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.6999999999999886, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , left, 0.3739999999999668, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 2.6990000000000123, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.766999999999996, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.0299999999999727, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.5, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , left, 0.6000000000000227, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , space, 5.833000000000027, right, 1, 1.4249999999999545, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 0, 0, 0, 5, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.9339999999999691, , , , , , , , , , , , frizNearRight.jpg, The force is forehand., right, , , , , frizNearRight.jpg, The force is forehand., right, 0, 1, 1, 3, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.200999999999965, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 0, 2, 2, 8, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 1.3600000000000136, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 0, 3, 3, 14, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 0.75, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 0, 4, 4, 2, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.7330000000000041, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 11, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.8330000000000268, , , , , , , , , , , , frizNearRight.jpg, The force is away., left, , , , , frizNearRight.jpg, The force is away., left, 0, 6, 6, 15, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 0.6000000000000227, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 0, 7, 7, 4, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.8350000000000364, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 0, 8, 8, 9, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 1.3560000000000514, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 0, 9, 9, 13, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 0.4309999999999832, , , , , , , , , , , , frizFarLeft.jpg, The force is away., right, , , , , frizFarLeft.jpg, The force is away., right, 0, 10, 10, 12, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.36700000000001864, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 0, 11, 11, 1, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.6669999999999732, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 0, 12, 12, 6, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.9560000000000173, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 0, 13, 13, 0, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.8000000000000114, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 0, 14, 14, 10, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.38999999999998636, , , , , , , , , , , , frizNearRight.jpg, The force is backhand., left, , , , , frizNearRight.jpg, The force is backhand., left, 0, 15, 15, 7, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.37299999999999045, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 1, 0, 16, 10, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 0.36700000000001864, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 1, 1, 17, 4, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 1.1229999999999905, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 1, 2, 18, 14, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.5900000000000318, , , , , , , , , , , , frizNearRight.jpg, The force is backhand., left, , , , , frizNearRight.jpg, The force is backhand., left, 1, 3, 19, 7, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.9660000000000082, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 1, 4, 20, 13, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.5910000000000082, , , , , , , , , , , , frizNearRight.jpg, The force is away., left, , , , , frizNearRight.jpg, The force is away., left, 1, 5, 21, 15, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.6229999999999905, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 1, 6, 22, 8, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.2660000000000196, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 1, 7, 23, 6, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.5010000000000332, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 1, 8, 24, 5, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.022999999999967713, , , , , , , , , , , , frizNearRight.jpg, The force is forehand., right, , , , , frizNearRight.jpg, The force is forehand., right, 1, 9, 25, 3, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.06599999999997408, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 1, 10, 26, 1, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 0.0999999999999659, , , , , , , , , , , , frizFarLeft.jpg, The force is away., right, , , , , frizFarLeft.jpg, The force is away., right, 1, 11, 27, 12, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.5230000000000246, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 1, 12, 28, 11, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.35700000000002774, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 1, 13, 29, 0, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 0.2909999999999968, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 1, 14, 30, 2, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.3650000000000091, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 1, 15, 31, 9, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.7889999999999873, , , , , , , , , , , , frizFarLeft.jpg, The force is away., right, , , , , frizFarLeft.jpg, The force is away., right, 2, 0, 32, 12, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.7239999999999895, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 2, 1, 33, 0, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.9010000000000105, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 2, 2, 34, 10, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.3660000000000423, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 2, 3, 35, 5, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 2.38900000000001, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 2, 4, 36, 1, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 2.1089999999999804, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 2, 5, 37, 13, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.6330000000000382, , , , , , , , , , , , frizNearRight.jpg, The force is away., left, , , , , frizNearRight.jpg, The force is away., left, 2, 6, 38, 15, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.2890000000000441, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 2, 7, 39, 11, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.2319999999999709, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 2, 8, 40, 8, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.4000000000000341, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 2, 9, 41, 14, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.33299999999997, , , , , , , , , , , , frizNearRight.jpg, The force is backhand., left, , , , , frizNearRight.jpg, The force is backhand., left, 2, 10, 42, 7, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.3990000000000009, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 2, 11, 43, 9, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.48900000000003274, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 2, 12, 44, 6, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.36700000000001864, , , , , , , , , , , , frizNearRight.jpg, The force is forehand., right, , , , , frizNearRight.jpg, The force is forehand., right, 2, 13, 45, 3, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 0.34300000000001774, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 2, 14, 46, 2, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 0.48099999999999454, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 2, 15, 47, 4, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 1.1129999999999995, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 3, 0, 48, 0, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.7669999999999959, , , , , , , , , , , , frizNearRight.jpg, The force is away., left, , , , , frizNearRight.jpg, The force is away., left, 3, 1, 49, 15, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 1.6620000000000346, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 3, 2, 50, 13, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.2789999999999964, , , , , , , , , , , , frizNearRight.jpg, The force is backhand., left, , , , , frizNearRight.jpg, The force is backhand., left, 3, 3, 51, 7, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 1.4960000000000377, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 3, 4, 52, 4, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 0.2349999999999568, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 3, 5, 53, 2, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 2.04200000000003, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 3, 6, 54, 10, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 0, 0.7300000000000182, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 3, 7, 55, 14, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.1139999999999759, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 3, 8, 56, 8, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.5179999999999723, , , , , , , , , , , , frizNearRight.jpg, The force is forehand., right, , , , , frizNearRight.jpg, The force is forehand., right, 3, 9, 57, 3, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.02199999999999136, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 3, 10, 58, 11, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 0.036000000000001364, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 3, 11, 59, 1, 1, Wed Aug 23 2017 16:56:34 GMT+0100 (GMT Standard Time), Ultimate_Frisbee, 60
