Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.8490000000000002, space, 5.4159999999999995, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.948000000000002, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.431999999999999, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.7330000000000005, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 12.448, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 22.788000000000004, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.9140000000000015, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.548999999999992, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.6159999999999997, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.149000000000001, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.733000000000004, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.4339999999999975, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.3340000000000032, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.7990000000000066, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , 0, 9.516000000000005, space, 5.787999999999997, left, 1.6800000000000068, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.615000000000009, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.1809999999999832, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.414999999999992, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 2.082000000000022, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.0649999999999977, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.0819999999999936, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.1160000000000139, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , space, 90.00900000000001, right, 1, 1.065999999999974, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 0, 0, 0, 11, 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.9499999999999886, , , , , , , , , , , , frizFarLeft.jpg, The force is away., right, , , , , frizFarLeft.jpg, The force is away., right, 0, 1, 1, 12, 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.7330000000000041, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 0, 2, 2, 8, 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.0329999999999586, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 0, 3, 3, 13, 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.233000000000004, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 0, 4, 4, 4, 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 0, 5, 5, 1, 21208596, Mon Aug 28 2017 17:04:28 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
