Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.6880000000000006, space, 9.577000000000002, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 19.604000000000003, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 20.590000000000003, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 6.1499999999999915, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 17.982, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 19.236000000000004, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 15.341999999999999, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 10.729000000000013, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 5.382000000000005, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 5.882999999999981, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 4.712999999999994, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.6440000000000055, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 2.106000000000023, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 10.177999999999997, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:48:35 GMT-0400 (EDT), Ultimate_Frisbee, 60
