Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.6660000000000004, space, 3.8789999999999996, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 14.038999999999998, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.242000000000001, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.5320000000000036, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 11.403999999999996, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.675000000000004, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.4159999999999968, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.5120000000000005, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.594999999999999, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 12.739999999999995, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.944000000000003, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.3359999999999985, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.4279999999999973, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.9480000000000075, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , 0, 1.3660000000000139, space, 1.1690000000000111, left, 3.676000000000002, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.4959999999999951, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.01400000000001, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 0.9630000000000223, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.9950000000000045, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.6150000000000091, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.7139999999999986, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.2479999999999905, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , space, 1.7489999999999952, right, 1, 1.0490000000000066, , , , , , , , , , , , frizNearRight.jpg, The force is forehand., right, , , , , frizNearRight.jpg, The force is forehand., right, 0, 0, 0, 3, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.6990000000000123, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 0, 1, 1, 10, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 0, 1.0320000000000107, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 0, 2, 2, 6, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.9310000000000116, , , , , , , , , , , , frizFarLeft.jpg, The force is away., right, , , , , frizFarLeft.jpg, The force is away., right, 0, 3, 3, 12, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.0150000000000148, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 0, 4, 4, 14, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.2650000000000148, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 0, 5, 5, 5, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.0500000000000114, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 0, 6, 6, 9, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.8309999999999889, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 0, 7, 7, 4, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.0160000000000196, , , , , , , , , , , , frizNearRight.jpg, The force is away., left, , , , , frizNearRight.jpg, The force is away., left, 0, 8, 8, 15, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.3969999999999914, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 0, 9, 9, 0, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.313999999999993, , , , , , , , , , , , frizNearRight.jpg, The force is backhand., left, , , , , frizNearRight.jpg, The force is backhand., left, 0, 10, 10, 7, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.1299999999999955, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 0, 11, 11, 1, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.8990000000000009, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 0, 12, 12, 13, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.8129999999999882, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 0, 13, 13, 8, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.4639999999999986, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 0, 14, 14, 2, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.9979999999999905, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 0, 15, 15, 11, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1, , , , , , , , , , , , frizNearRight.jpg, The force is forehand., right, , , , , frizNearRight.jpg, The force is forehand., right, 1, 0, 16, 3, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 2.647999999999996, , , , , , , , , , , , frizFarLeft.jpg, The force is home., left, , , , , frizFarLeft.jpg, The force is home., left, 1, 1, 17, 8, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.9509999999999934, , , , , , , , , , , , frizFarLeft.jpg, The force is away., right, , , , , frizFarLeft.jpg, The force is away., right, 1, 2, 18, 12, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.7980000000000018, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 1, 3, 19, 2, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.0490000000000066, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 1, 4, 20, 6, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.9499999999999886, , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, , , , , frizFarLeft.jpg, The force is forehand., left, 1, 5, 21, 0, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.8149999999999977, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 1, 6, 22, 14, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.9159999999999968, , , , , , , , , , , , frizNearRight.jpg, The force is backhand., left, , , , , frizNearRight.jpg, The force is backhand., left, 1, 7, 23, 7, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.6490000000000009, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 1, 8, 24, 11, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.8480000000000132, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 1, 9, 25, 5, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.6980000000000359, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 1, 10, 26, 9, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.7490000000000236, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 1, 11, 27, 1, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.9989999999999668, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 1, 12, 28, 13, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.7320000000000277, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 1, 13, 29, 10, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.3000000000000114, , , , , , , , , , , , frizFarLeft.jpg, The force is backhand., right, , , , , frizFarLeft.jpg, The force is backhand., right, 1, 14, 30, 4, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.83299999999997, , , , , , , , , , , , frizNearRight.jpg, The force is away., left, , , , , frizNearRight.jpg, The force is away., left, 1, 15, 31, 15, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.8140000000000214, , , , , , , , , , , , frizNearRight.jpg, The force is forehand., right, , , , , frizNearRight.jpg, The force is forehand., right, 2, 0, 32, 3, 34545091, Tue Aug 22 2017 15:05:19 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
