Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.1020000000000003, space, 6.6320000000000014, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 18.237, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 11.558, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 12.594000000000008, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 18.054000000000002, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 15.766000000000005, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 15.314999999999998, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 7.831000000000003, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 2.439000000000007, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 13.963000000000022, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 6.096000000000004, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.1899999999999977, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 4.143000000000001, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 8.800999999999988, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , 0, 6.063000000000017, space, 8.96799999999999, left, 2.335000000000008, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 2.4209999999999923, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.953000000000003, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.302000000000021, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , left, 1.3189999999999884, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 0.8669999999999902, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 1.2019999999999982, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , right, 0.8169999999999789, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , space, 7.01400000000001, right, 1, 1.453000000000003, , , , , , , , , , , , frizFarLeft.jpg, The force is away., right, , , , , frizFarLeft.jpg, The force is away., right, 0, 0, 0, 12, 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.9339999999999975, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 0, 1, 1, 11, 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.8520000000000323, , , , , , , , , , , , frizNearLeft.jpg, The force is forehand., right, , , , , frizNearLeft.jpg, The force is forehand., right, 0, 2, 2, 2, 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.134999999999991, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 0, 3, 3, 9, 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.117999999999995, , , , , , , , , , , , frizFarRight.jpg, The force is forehand., left, , , , , frizFarRight.jpg, The force is forehand., left, 0, 4, 4, 1, 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.0690000000000168, , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, , , , , frizNearLeft.jpg, The force is away., right, 0, 5, 5, 14, 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.1189999999999714, , , , , , , , , , , , frizNearLeft.jpg, The force is home., left, , , , , frizNearLeft.jpg, The force is home., left, 0, 6, 6, 10, 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 1.6030000000000086, , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, , , , , frizNearLeft.jpg, The force is backhand., left, 0, 7, 7, 6, 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 1.2849999999999682, , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, , , , , frizFarRight.jpg, The force is backhand., right, 0, 8, 8, 5, 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , , , , , , , , , , , left, 1, 0.9180000000000064, , , , , , , , , , , , frizFarRight.jpg, The force is away., left, , , , , frizFarRight.jpg, The force is away., left, 0, 9, 9, 13, 3651739, Fri Sep 08 2017 01:27:15 GMT-0400 (EDT), Ultimate_Frisbee, 60
