Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.5830000000000055, space, 4.646000000000001, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 40119543, Tue Sep 19 2017 16:58:23 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 14.692, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 40119543, Tue Sep 19 2017 16:58:23 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 11.775000000000006, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 40119543, Tue Sep 19 2017 16:58:23 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.4329999999999927, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 40119543, Tue Sep 19 2017 16:58:23 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 17.075000000000003, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 40119543, Tue Sep 19 2017 16:58:23 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 24.468999999999994, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 40119543, Tue Sep 19 2017 16:58:23 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 14.277000000000001, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 40119543, Tue Sep 19 2017 16:58:23 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 10.574999999999989, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 40119543, Tue Sep 19 2017 16:58:23 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 14.541000000000025, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 40119543, Tue Sep 19 2017 16:58:23 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.579000000000008, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 40119543, Tue Sep 19 2017 16:58:23 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
