Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.4169999999999998, space, 1.2500000000000009, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 19.316000000000003, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.8669999999999973, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.9329999999999998, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.28299999999999415, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.233000000000004, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.6839999999999975, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.916000000000004, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.300999999999995, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.5829999999999984, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.2669999999999959, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.198999999999998, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.284000000000006, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.20000000000000284, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , 0, 1.0160000000000053, space, 0.25, left, 2.8999999999999915, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.9830000000000041, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 2.649000000000001, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.0490000000000066, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.5499999999999972, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.2339999999999947, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.1820000000000022, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.6000000000000085, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , space, 7.0989999999999895, right, 1, 1.0159999999999911, , , , , , , , , , , , frizFarLeft.jpg, The force is away., right, , , , , frizFarLeft.jpg, The force is away., right, 0, 0, 0, 12, 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , , , , , right, 1, 0.9000000000000057, , , , , , , , , , , , frizNearRight.jpg, The force is home., right, , , , , frizNearRight.jpg, The force is home., right, 0, 1, 1, 11, 40321903, Mon Aug 21 2017 12:54:14 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
