Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.3500000000000014, space, 2.666999999999998, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 55124571, Thu Nov 16 2017 10:13:42 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 13.851999999999997, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 55124571, Thu Nov 16 2017 10:13:42 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 5.7989999999999995, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 55124571, Thu Nov 16 2017 10:13:42 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 1.801000000000002, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 55124571, Thu Nov 16 2017 10:13:42 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 18.298000000000002, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 55124571, Thu Nov 16 2017 10:13:42 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 39.25, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 55124571, Thu Nov 16 2017 10:13:42 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 14.037999999999997, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 55124571, Thu Nov 16 2017 10:13:42 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 10.217000000000013, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 55124571, Thu Nov 16 2017 10:13:42 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 12.967000000000013, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 55124571, Thu Nov 16 2017 10:13:42 GMT-0500 (EST), Ultimate_Frisbee, 60
, , space, 8.282999999999987, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 55124571, Thu Nov 16 2017 10:13:42 GMT-0500 (EST), Ultimate_Frisbee, 60
