Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.1840000000000002, space, 3.3009999999999993, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 58799837, Wed Nov 15 2017 16:31:56 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 6.949000000000002, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 58799837, Wed Nov 15 2017 16:31:56 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 4.733999999999998, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 58799837, Wed Nov 15 2017 16:31:56 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 0.3009999999999984, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 58799837, Wed Nov 15 2017 16:31:56 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 8.033999999999999, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 58799837, Wed Nov 15 2017 16:31:56 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 10.799999999999997, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 58799837, Wed Nov 15 2017 16:31:56 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 2.017000000000003, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 58799837, Wed Nov 15 2017 16:31:56 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 6.465000000000003, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 58799837, Wed Nov 15 2017 16:31:56 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 0.9519999999999982, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 58799837, Wed Nov 15 2017 16:31:56 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 7.650000000000006, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 58799837, Wed Nov 15 2017 16:31:56 GMT-0500 (Eastern Standard Time), Ultimate_Frisbee, 60
