Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 3.886000000000003, space, 2.469999999999999, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.405000000000001, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.0019999999999953, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.35200000000000387, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.5679999999999978, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.5870000000000033, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.3019999999999996, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.418999999999997, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.06700000000000017, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.7839999999999918, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.03300000000000125, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.6189999999999998, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.5009999999999906, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.0859999999999985, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , 0, 3.9039999999999964, space, 2.350999999999999, left, 1.617999999999995, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.9669999999999987, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.1509999999999962, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 60510916, Fri Sep 15 2017 16:16:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
