Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.2390000000000008, space, 2.968, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 8.492, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 10.527000000000001, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.949999999999996, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.847999999999999, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.728999999999999, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.662000000000006, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.899000000000001, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.5600000000000023, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.576999999999998, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.034000000000006, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 0.8990000000000009, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.882000000000005, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.1869999999999976, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , 0, 3.948999999999998, space, 3.6780000000000115, left, 1.8970000000000056, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.9480000000000075, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.2879999999999967, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.0330000000000155, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.1180000000000234, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.7460000000000093, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 64221150, Fri Oct 20 2017 12:20:56 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
