Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.5840000000000005, space, 4.390000000000001, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:54:34 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 9.354, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:54:34 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 6.5859999999999985, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:54:34 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 4.435000000000002, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:54:34 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 8.287999999999997, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:54:34 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 7.8870000000000005, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:54:34 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 5.387999999999998, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:54:34 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.951999999999998, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:54:34 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 6.0859999999999985, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:54:34 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.067999999999998, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:54:34 GMT-0400 (EDT), Ultimate_Frisbee, 60
