Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 2, space, 5.234000000000002, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:17:07 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 15.401000000000003, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:17:07 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.716999999999992, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:17:07 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.350999999999999, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:17:07 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 14.76700000000001, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:17:07 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 16.134, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:17:07 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 10.367999999999995, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:17:07 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.051000000000002, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:17:07 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.332999999999998, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:17:07 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.399000000000015, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 80113241, Sun Aug 20 2017 09:17:07 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
