Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.4499999999999993, space, 7.2219999999999995, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 5.355, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 3.269000000000002, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 1.2970000000000006, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 4.172000000000001, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 5.338000000000001, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 3.753999999999998, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 4.820999999999998, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 4.003999999999998, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 3.771000000000001, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 3.1539999999999964, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 4.103999999999999, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 0.5490000000000066, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , space, 5.2039999999999935, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , 0, 2.1770000000000067, space, 2.253, left, 1.717000000000013, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.3659999999999997, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.5150000000000006, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.9120000000000061, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , left, 1.2319999999999993, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 0.9990000000000094, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.5670000000000073, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
, , , , , , , , left, 3.100999999999999, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , 9495124, Wed Oct 04 2017 10:19:30 GMT-0400 (Eastern Standard Time), Ultimate_Frisbee, 60
