Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.6219999999999999, space, 5.180999999999997, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 17.716, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 10.210999999999999, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.625, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 17.813000000000002, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 11.700999999999993, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 13.533999999999992, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.103000000000009, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 8.588000000000008, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 10.377999999999986, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.899999999999977, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.591999999999985, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.1270000000000095, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.9950000000000045, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:36:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
