Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.5500000000000007, space, 5.9830000000000005, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 13.835999999999999, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.450000000000003, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.5159999999999982, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 21.932999999999993, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 16.701000000000008, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.981999999999999, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 9.149999999999991, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.4159999999999968, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.5830000000000126, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.4339999999999975, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.7670000000000101, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.4329999999999927, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.433000000000007, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , 0, 8.049999999999997, space, 5.817000000000007, left, 1.9150000000000205, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.8999999999999773, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , 9947089, Wed Aug 16 2017 12:09:13 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
