Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.6099999999999994, space, 3.2379999999999995, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , Fri Aug 18 2017 12:16:01 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 18.357000000000003, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , , Fri Aug 18 2017 12:16:01 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 10.338000000000001, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , , Fri Aug 18 2017 12:16:01 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.6120000000000019, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , , Fri Aug 18 2017 12:16:01 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 17.016999999999996, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , , Fri Aug 18 2017 12:16:01 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 17.235, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , , Fri Aug 18 2017 12:16:01 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.6270000000000095, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , , Fri Aug 18 2017 12:16:01 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.100999999999999, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , , Fri Aug 18 2017 12:16:01 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.6780000000000115, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , , Fri Aug 18 2017 12:16:01 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 7.494, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , , Fri Aug 18 2017 12:16:01 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
