Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.9719999999999995, space, 0.9350000000000005, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 6.701000000000002, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 2.6409999999999982, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 0.5820000000000007, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 9.982, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 1.6550000000000011, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 1.7379999999999995, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 1.5039999999999978, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 3.9279999999999973, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 2.4909999999999997, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 7.188000000000002, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 0.3850000000000051, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
, , space, 0.5179999999999936, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , , Mon Aug 28 2017 17:29:14 GMT-0400 (EDT), Ultimate_Frisbee, 60
