Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.5009999999999994, space, 4.300000000000001, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 6.199999999999999, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 3.8169999999999966, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 3.1999999999999993, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 11.717999999999996, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 1.966000000000001, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 2.5999999999999943, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 10.301000000000002, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 1.2999999999999972, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 4.48299999999999, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 1.5829999999999984, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 0.30000000000001137, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 0.2670000000000101, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , space, 4.500999999999991, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , , , 0, 3.584000000000003, space, 3.317999999999998, left, 6, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , , , , , , , right, 3.5, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , , , , , , , right, 4.650999999999996, , , , , , , , , , , , , , , , , frizFarRight.jpg, The force is backhand., right, 0, 2, 2, 2, frizFarRight.jpg, The force is backhand., right, , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , , , , , , , right, 2.1829999999999927, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 3, 3, 3, frizNearRight.jpg, The force is home., right, , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , , , , , , , left, 3.316999999999979, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is backhand., left, 0, 4, 4, 4, frizNearLeft.jpg, The force is backhand., left, , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , , , , , , , right, 1.2990000000000066, , , , , , , , , , , , , , , , , frizNearRight.jpg, The force is home., right, 0, 5, 5, 5, frizNearRight.jpg, The force is home., right, , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , , , , , , , right, 4.163000000000011, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 6, 6, 6, frizNearLeft.jpg, The force is away., right, , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , , , , , , , left, 2.983000000000004, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 7, 7, 7, frizFarLeft.jpg, The force is forehand., left, , , , , , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
, , , , , , , , , , space, 11.951000000000022, right, 1, 1.6169999999999902, , , , , , , , , , , , frizFarRight.jpg, The force is home., right, , , , , frizFarRight.jpg, The force is home., right, 0, 0, 0, 9, , Wed Nov 15 2017 11:20:48 GMT-0800 (PST), Ultimate_Frisbee, 60
