Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 2.452, space, 3.102000000000002, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.024000000000001, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.001999999999999, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.0499999999999972, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.203999999999997, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.823, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.5010000000000048, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 4.054000000000002, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.436, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.3029999999999973, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.5519999999999996, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.236000000000004, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.6189999999999998, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.5529999999999973, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , 0, 2.9540000000000077, space, 2.4869999999999948, left, 2.2510000000000048, , , , , , , , , , , , , , , , , frizFarLeft.jpg, The force is forehand., left, 0, 0, 0, 0, frizFarLeft.jpg, The force is forehand., left, , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , , , , , , , right, 1.0330000000000013, , , , , , , , , , , , , , , , , frizNearLeft.jpg, The force is away., right, 0, 1, 1, 1, frizNearLeft.jpg, The force is away., right, , , , , frizstudy9017, Fri Sep 15 2017 16:04:54 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
