Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 2.367000000000001, space, 3.349, , , , , , , , , , , , , , Slide1.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 8.900000000000002, , , , , , , , , , , , , , Slide2.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 14.448999999999998, , , , , , , , , , , , , , Slide3.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 6.917000000000002, , , , , , , , , , , , , , Slide4.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 8.100000000000001, , , , , , , , , , , , , , Slide5.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 8.382999999999996, , , , , , , , , , , , , , Slide6.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.801000000000002, , , , , , , , , , , , , , Slide7.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.5349999999999966, , , , , , , , , , , , , , Slide8.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.9669999999999987, , , , , , , , , , , , , , Slide9.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 3.834000000000003, , , , , , , , , , , , , , Slide10.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 5.4339999999999975, , , , , , , , , , , , , , Slide11.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 1.4509999999999934, , , , , , , , , , , , , , Slide12.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.884999999999991, , , , , , , , , , , , , , Slide13.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
, , space, 2.015999999999991, , , , , , , , , , , , , , Slide14.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , frizstudy9017, Thu Oct 19 2017 20:38:49 GMT-0400 (Eastern Daylight Time), Ultimate_Frisbee, 60
