Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.080999999999996, space, 5.137999999999998, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:29:55 GMT-0400 (EDT), Road_Intersection, 60
, , space, 12.735999999999997, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:29:55 GMT-0400 (EDT), Road_Intersection, 60
, , space, 5.969000000000008, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:29:55 GMT-0400 (EDT), Road_Intersection, 60
, , space, 6.716999999999999, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:29:55 GMT-0400 (EDT), Road_Intersection, 60
, , space, 15.430000000000007, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:29:55 GMT-0400 (EDT), Road_Intersection, 60
, , space, 35.23299999999999, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:29:55 GMT-0400 (EDT), Road_Intersection, 60
, , space, 5.354000000000013, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:29:55 GMT-0400 (EDT), Road_Intersection, 60
, , space, 6.2690000000000055, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:29:55 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.242999999999995, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:29:55 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.7790000000000248, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 3771103, Mon Sep 11 2017 09:29:55 GMT-0400 (EDT), Road_Intersection, 60
