Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.7690000000000001, space, 5.122, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 13.211999999999996, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.3019999999999996, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.6529999999999987, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 12.613, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 11.761000000000003, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.368000000000009, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.471999999999994, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.4869999999999948, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.2369999999999948, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.8200000000000074, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.5360000000000014, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.5019999999999953, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.634999999999991, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , 0, 1.0030000000000001, space, 2.436000000000007, left, 3.685999999999993, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.9339999999999975, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 1.784000000000006, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.8659999999999854, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.7669999999999959, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.6670000000000016, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.8329999999999984, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.936000000000007, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 52817250, Mon Aug 21 2017 14:55:46 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
