Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 2.3510000000000026, space, 12.542000000000002, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 19.976999999999997, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 15.025000000000006, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.385999999999996, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 22.245000000000005, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 31.44999999999999, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 7.404000000000025, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 6.203000000000003, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 7.554000000000002, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.3850000000000193, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.068000000000012, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.836000000000013, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.2670000000000243, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.2180000000000177, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , , , 0, 4.835999999999984, space, 7.204000000000008, right, 1.6659999999999968, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 1.6500000000000057, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 55572456, Sat Oct 21 2017 14:09:59 GMT-0400 (EDT), Road_Intersection, 60
