Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.1680000000000001, space, 4.946999999999999, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 10.412, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 5.347999999999999, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 4.044000000000004, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 18.283, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 12.635000000000005, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 38.721999999999994, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 5.498999999999995, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 2.858000000000004, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 0.8520000000000039, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 2.875, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 1.7720000000000056, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 0.9029999999999916, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , space, 1.3370000000000175, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , 0, 2.8240000000000123, space, 7.586999999999989, left, 1.7680000000000007, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , right, 0.7319999999999993, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , left, 1.367999999999995, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , right, 0.6490000000000009, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , left, 0.6490000000000009, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , right, 0.6639999999999873, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , right, 0.8990000000000009, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , left, 0.9660000000000082, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , , , space, 53.69499999999999, right, 0, 0.9689999999999941, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 0, 0, 0, 5, 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 1.0870000000000175, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 0, 1, 1, 1, 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 1.3530000000000086, , , , , , , , , , , , navFarLeft.jpg, Go away. , right, , , , , navFarLeft.jpg, Go away. , right, 0, 2, 2, 4, 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 2.5740000000000123, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 0, 3, 3, 0, 56594642, Wed Nov 15 2017 14:14:13 GMT-0500 (EST), Road_Intersection, 60
