Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.7000000000000011, space, 3.5489999999999995, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:52:30 GMT-0400 (EDT), Road_Intersection, 60
, , space, 7.200000000000001, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:52:30 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.401, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:52:30 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.1499999999999986, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:52:30 GMT-0400 (EDT), Road_Intersection, 60
, , space, 7.984999999999999, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:52:30 GMT-0400 (EDT), Road_Intersection, 60
, , space, 12.183999999999997, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:52:30 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.534000000000006, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:52:30 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.299999999999997, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:52:30 GMT-0400 (EDT), Road_Intersection, 60
, , space, 6.400000000000006, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:52:30 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.4839999999999947, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 6061126, Mon Aug 21 2017 12:52:30 GMT-0400 (EDT), Road_Intersection, 60
