Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 20.732, space, 92.88300000000001, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 13.71799999999999, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.1149999999999807, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 997.2579999999999, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 4, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.433999999999969, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.199999999999818, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.6690000000000964, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 4.616999999999962, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.6000000000001364, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.316000000000031, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.8000000000001819, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 4.183999999999969, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.1330000000000382, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , 0, 1.6169999999999618, space, 0.7169999999998709, right, 1.3640000000000327, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.7319999999999709, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.8160000000000309, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.7000000000000455, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.5650000000000546, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.5829999999998563, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.5489999999999782, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 1.066000000000031, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , space, 83.48399999999992, left, 1, 1.518000000000029, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 0, 0, 0, 5, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.7670000000000528, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 0, 1, 1, 10, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.7670000000000528, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 0, 2, 2, 12, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.6340000000000146, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 0, 3, 3, 1, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.6000000000001364, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 0, 4, 4, 11, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.6999999999998181, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 0, 5, 5, 8, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.6510000000000673, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 0, 6, 6, 6, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.7000000000000455, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 0, 7, 7, 9, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.7660000000000764, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 0, 8, 8, 15, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.6169999999999618, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 0, 9, 9, 2, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.5329999999999018, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 0, 10, 10, 3, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8830000000000382, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 0, 11, 11, 0, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.1499999999998636, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 0, 12, 12, 13, 62228828, Sat Oct 07 2017 16:18:32 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
