Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.3879999999999999, space, 4.115, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 63506070, Wed Nov 15 2017 16:13:35 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 7.231, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 63506070, Wed Nov 15 2017 16:13:35 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 1.3179999999999978, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 63506070, Wed Nov 15 2017 16:13:35 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 0.6649999999999991, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 63506070, Wed Nov 15 2017 16:13:35 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 17.656999999999996, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 63506070, Wed Nov 15 2017 16:13:35 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 6.283999999999999, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 63506070, Wed Nov 15 2017 16:13:35 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 0.8470000000000013, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 63506070, Wed Nov 15 2017 16:13:35 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 0.6379999999999981, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 63506070, Wed Nov 15 2017 16:13:35 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 0.10099999999999909, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 63506070, Wed Nov 15 2017 16:13:35 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 3.053999999999995, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 63506070, Wed Nov 15 2017 16:13:35 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
