Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space,0.35, space,2.6, , , , , , , , , , , , , , Slide15.JPG,0,0,0,0, , , , , , , , , , , , , , , , , , ,63854690, Wed Aug 23 2017 18:14:05 GMT-0400 (Eastern Daylight Time), Road_Intersection,60
, , space,5.249, , , , , , , , , , , , , , Slide16.JPG,0,1,1,1, , , , , , , , , , , , , , , , , , ,63854690, Wed Aug 23 2017 18:14:05 GMT-0400 (Eastern Daylight Time), Road_Intersection,60
, , space,1.283, , , , , , , , , , , , , , Slide17.JPG,0,2,2,2, , , , , , , , , , , , , , , , , , ,63854690, Wed Aug 23 2017 18:14:05 GMT-0400 (Eastern Daylight Time), Road_Intersection,60
, , space,0.568, , , , , , , , , , , , , , Slide18.JPG,0,3,3,3, , , , , , , , , , , , , , , , , , ,63854690, Wed Aug 23 2017 18:14:05 GMT-0400 (Eastern Daylight Time), Road_Intersection,60
, , space,20.016, , , , , , , , , , , , , , Slide19.JPG,0,4,4,4, , , , , , , , , , , , , , , , , , ,63854690, Wed Aug 23 2017 18:14:05 GMT-0400 (Eastern Daylight Time), Road_Intersection,60
, , space,8.433, , , , , , , , , , , , , , Slide20.JPG,0,5,5,5, , , , , , , , , , , , , , , , , , ,63854690, Wed Aug 23 2017 18:14:05 GMT-0400 (Eastern Daylight Time), Road_Intersection,60
, , space,5.817, , , , , , , , , , , , , , Slide21.JPG,0,6,6,6, , , , , , , , , , , , , , , , , , ,63854690, Wed Aug 23 2017 18:14:05 GMT-0400 (Eastern Daylight Time), Road_Intersection,60
, , space,2.017, , , , , , , , , , , , , , Slide22.JPG,0,7,7,7, , , , , , , , , , , , , , , , , , ,63854690, Wed Aug 23 2017 18:14:05 GMT-0400 (Eastern Daylight Time), Road_Intersection,60
, , space,2.283, , , , , , , , , , , , , , Slide23.JPG,0,8,8,8, , , , , , , , , , , , , , , , , , ,63854690, Wed Aug 23 2017 18:14:05 GMT-0400 (Eastern Daylight Time), Road_Intersection,60
, , space,1.6, , , , , , , , , , , , , , Slide24.JPG,0,9,9,9, , , , , , , , , , , , , , , , , , ,63854690, Wed Aug 23 2017 18:14:05 GMT-0400 (Eastern Daylight Time), Road_Intersection,60
