Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.8840000000000003, space, 3.2990000000000013, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:40:14 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 21.083000000000002, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:40:14 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.366, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:40:14 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.5660000000000025, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:40:14 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 8.799, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:40:14 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 19.715999999999994, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:40:14 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 7.983000000000004, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:40:14 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 10.183000000000007, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:40:14 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.082999999999998, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:40:14 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.0660000000000025, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 82427599, Fri Oct 20 2017 12:40:14 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
