Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 2.583000000000002, space, 6.317, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 19.185000000000002, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.25, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.7989999999999995, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 32.720000000000006, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 31.769999999999996, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.8840000000000003, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.51700000000001, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.783999999999992, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.7839999999999918, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.6659999999999968, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.6499999999999773, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.6169999999999902, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.9329999999999927, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , , , 0, 10.835000000000008, space, 3.516999999999996, left, 1.8479999999999848, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 1.3480000000000132, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 1.582000000000022, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 0.6630000000000109, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , left, 0.6990000000000123, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 90544723, Thu Oct 19 2017 19:42:33 GMT-0400 (EDT), Road_Intersection, 60
