Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.9859999999999998, space, 5.549, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.5969999999999995, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.0199999999999996, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.2699999999999996, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.8569999999999993, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.2530000000000001, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 0.6009999999999991, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.4400000000000013, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 0.7349999999999994, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 0.6680000000000064, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 0.25099999999999767, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 0.18299999999999983, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 0.25099999999999767, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.1060000000000016, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 95173719, Tue Aug 29 2017 09:09:54 GMT-0400 (EDT), Road_Intersection, 60
