Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.17, space, 3.997, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 7.500999999999998, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.0559999999999974, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.5569999999999986, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 17.715000000000003, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.995999999999995, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.302, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 4.694999999999993, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 10.482, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.4699999999999989, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.725999999999999, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.4549999999999983, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 98888826, Thu Sep 28 2017 17:45:28 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
