Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.984, space, 8.2, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 9.716999999999995, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 6.498000000000005, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 7.899999999999999, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 13.633000000000003, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 24.185000000000002, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 6.582999999999998, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 15.50099999999999, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 6.914999999999992, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 4.534000000000006, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 3.198999999999984, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 1.5839999999999748, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 1.8500000000000227, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , space, 2.0660000000000025, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , 0, 5.63300000000001, space, 2.716000000000008, right, 1.4460000000000264, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , right, 2.0800000000000125, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , right, 2.9129999999999825, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , right, 1.1640000000000157, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , left, 1.2150000000000034, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , right, 0.9299999999999784, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , right, 0.9969999999999857, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , right, 1.4629999999999939, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , space, 5.367000000000019, left, 1, 1.6680000000000064, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 0, 0, 0, 5, 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.0829999999999984, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 0, 1, 1, 2, 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8000000000000114, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 0, 2, 2, 3, 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.9680000000000177, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 0, 3, 3, 11, 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , right, 0, 3, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 0, 4, 4, 13, 15636701, Wed Aug 16 2017 17:58:12 GMT-0400 (Eastern Standard Time), Road_Intersection, 60
