Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.6699999999999999, space, 4.503, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 11.125000000000002, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 3.4349999999999987, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 1.9019999999999975, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 16.128999999999998, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 17.913000000000004, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 5.804999999999993, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 3.5189999999999912, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 4.404000000000011, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 4.369, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 2.3029999999999973, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 1.8689999999999998, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 1.2180000000000035, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , space, 2.0509999999999877, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , , , 0, 2.049999999999997, space, 6.021000000000001, right, 0.9480000000000075, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , , , , , , , right, 1.0159999999999911, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , , , , , , , left, 1.6869999999999976, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , , , , , , , right, 1.117999999999995, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , , , , , , , left, 1.085000000000008, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.7160000000000082, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.9479999999999791, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
, , , , , , , , right, 1.1170000000000186, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 2189950, Fri Oct 06 2017 16:18:17 GMT-0500 (Central Daylight Time), Road_Intersection, 60
