Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.3870000000000005, space, 3.8290000000000006, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 11.264000000000003, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 7.637999999999998, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.061, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 31.669999999999995, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 23.614000000000004, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.9939999999999998, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.141999999999996, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 11.330000000000013, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.2560000000000002, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.278999999999996, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.5600000000000023, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.7539999999999907, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.0529999999999973, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , 0, 4.211000000000013, space, 2.507000000000005, left, 1.6210000000000093, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 0.818000000000012, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 1.535999999999973, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 0.7839999999999918, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , left, 0.7510000000000048, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 0.7680000000000007, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 0.7849999999999966, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , left, 1.0190000000000055, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , space, 2.806999999999988, right, 1, 0.8190000000000168, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 0, 0, 0, 1, 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.6689999999999827, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 0, 1, 1, 3, 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.5849999999999795, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 0, 2, 2, 7, 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.7859999999999729, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 0, 3, 3, 5, 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8859999999999957, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 0, 4, 4, 12, 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.650999999999982, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 0, 5, 5, 10, 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.0190000000000055, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 0, 6, 6, 13, 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.504000000000019, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 0, 7, 7, 0, 23889243, Tue Aug 29 2017 22:57:44 GMT-0400 (EDT), Road_Intersection, 60
