Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.867, space, 0.5660000000000007, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 24523564, Wed Nov 15 2017 11:28:25 GMT-0800 (PST), Road_Intersection, 60
, , space, 7.133000000000001, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 24523564, Wed Nov 15 2017 11:28:25 GMT-0800 (PST), Road_Intersection, 60
, , space, 1.9839999999999982, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 24523564, Wed Nov 15 2017 11:28:25 GMT-0800 (PST), Road_Intersection, 60
, , space, 1.7660000000000018, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 24523564, Wed Nov 15 2017 11:28:25 GMT-0800 (PST), Road_Intersection, 60
, , space, 5.966999999999999, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 24523564, Wed Nov 15 2017 11:28:25 GMT-0800 (PST), Road_Intersection, 60
, , space, 3.9009999999999962, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 24523564, Wed Nov 15 2017 11:28:25 GMT-0800 (PST), Road_Intersection, 60
, , space, 2.5500000000000043, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 24523564, Wed Nov 15 2017 11:28:25 GMT-0800 (PST), Road_Intersection, 60
, , space, 4.184000000000005, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 24523564, Wed Nov 15 2017 11:28:25 GMT-0800 (PST), Road_Intersection, 60
, , space, 7.318000000000005, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 24523564, Wed Nov 15 2017 11:28:25 GMT-0800 (PST), Road_Intersection, 60
, , space, 2.1670000000000016, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 24523564, Wed Nov 15 2017 11:28:25 GMT-0800 (PST), Road_Intersection, 60
