Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.6020000000000003, space, 3.1729999999999983, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 10.422, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.4699999999999989, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 0.41799999999999926, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 8.685000000000002, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 11.021999999999998, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.341000000000001, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.240000000000009, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 5.7450000000000045, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.9749999999999943, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 0.38400000000000034, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 0.29999999999999716, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 0.2680000000000007, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , space, 0.35199999999998965, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , 0, 5.260999999999996, space, 1.3689999999999998, left, 1.1659999999999968, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 0.8340000000000032, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 0.9680000000000035, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 0.465999999999994, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , left, 0.7340000000000089, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 0.6830000000000069, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 1.0519999999999925, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , left, 0.9170000000000016, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , space, 6.062999999999988, right, 1, 0.8520000000000039, , , , , , , , , , , , navFarLeft.jpg, Go away. , right, , , , , navFarLeft.jpg, Go away. , right, 0, 0, 0, 4, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.40100000000001046, , , , , , , , , , , , navNearLeft.jpg, Go right. , right, , , , , navNearLeft.jpg, Go right. , right, 0, 1, 1, 14, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.7009999999999934, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 0, 2, 2, 1, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.6510000000000105, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 0, 3, 3, 10, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.9190000000000111, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 0, 4, 4, 9, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.6850000000000023, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 0, 5, 5, 0, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.585000000000008, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 0, 6, 6, 6, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.700000000000017, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 0, 7, 7, 2, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8849999999999909, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 0, 8, 8, 12, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.5510000000000161, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 0, 9, 9, 11, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.7690000000000055, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 0, 10, 10, 7, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8010000000000161, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 0, 11, 11, 5, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.7179999999999893, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 0, 12, 12, 8, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.917999999999978, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 0, 13, 13, 13, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.9180000000000064, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 0, 14, 14, 15, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.7340000000000089, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 0, 15, 15, 3, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8850000000000193, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 1, 0, 16, 9, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.867999999999995, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 1, 1, 17, 6, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.6189999999999998, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 1, 2, 18, 15, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.5840000000000032, , , , , , , , , , , , navNearLeft.jpg, Go right. , right, , , , , navNearLeft.jpg, Go right. , right, 1, 3, 19, 14, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8859999999999957, , , , , , , , , , , , navFarLeft.jpg, Go away. , right, , , , , navFarLeft.jpg, Go away. , right, 1, 4, 20, 4, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.717000000000013, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 1, 5, 21, 5, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.7179999999999893, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 1, 6, 22, 2, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8009999999999877, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 1, 7, 23, 13, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.9350000000000023, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 1, 8, 24, 12, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.9180000000000064, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 1, 9, 25, 11, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.8670000000000186, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 1, 10, 26, 8, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.9680000000000177, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 1, 11, 27, 1, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.6340000000000146, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 1, 12, 28, 3, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.9509999999999934, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 1, 13, 29, 10, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.7190000000000225, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 1, 14, 30, 0, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.9839999999999804, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 1, 15, 31, 7, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.4869999999999948, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 2, 0, 32, 5, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.7669999999999959, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 2, 1, 33, 3, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 1.1350000000000193, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 2, 2, 34, 15, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.5509999999999877, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 2, 3, 35, 11, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.0519999999999925, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 2, 4, 36, 12, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8849999999999909, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 2, 5, 37, 7, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.2350000000000136, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 2, 6, 38, 13, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8009999999999877, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 2, 7, 39, 2, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.9690000000000509, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 2, 8, 40, 8, 3651739, Fri Sep 08 2017 01:36:07 GMT-0400 (EDT), Road_Intersection, 60
