Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 215.17800000000003, space, 3.3969999999999914, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 8.83499999999998, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 3.930000000000007, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 2.214999999999975, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 16.47399999999999, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 7.6299999999999955, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 3.7799999999999727, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 3.5190000000000055, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 40.77699999999999, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 3.6129999999999995, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 347.197, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 2.5990000000000464, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 772.0849999999999, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , space, 2.2409999999999854, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , 0, 274.318, space, 79.63599999999997, left, 6.927000000000135, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , right, 1.8309999999999036, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , right, 4.261999999999944, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , right, 1.7959999999998217, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , left, 1.43100000000004, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , right, 0.9640000000001692, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , right, 1.2180000000000746, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , left, 2.8299999999999272, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , space, 13401.17, right, 1, 2.1310000000012224, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 0, 0, 0, 1, 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 1.4160000000010768, , , , , , , , , , , , navNearLeft.jpg, Go right. , right, , , , , navNearLeft.jpg, Go right. , right, 0, 1, 1, 14, 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , left, 0, 0.7510000000002037, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 0, 2, 2, 8, 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 4.533000000001266, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 0, 3, 3, 9, 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 1.6480000000010477, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 0, 4, 4, 6, 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 1.59900000000016, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 0, 5, 5, 5, 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 3.798000000000684, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 0, 6, 6, 12, 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 12.273999999999432, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 0, 7, 7, 15, 3880734, Wed Nov 15 2017 16:30:30 GMT-0500 (Eastern Standard Time), Road_Intersection, 60
