Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 6.4719999999999995, space, 4.631999999999998, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 9.282000000000004, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.6469999999999985, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.5210000000000008, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.472000000000001, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.553999999999995, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.8470000000000013, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.3740000000000023, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.5219999999999985, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.1039999999999992, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.33499999999999375, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.3089999999999975, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.25199999999999534, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.5360000000000014, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , 0, 1.3520000000000039, space, 3.9650000000000034, right, 1.1530000000000058, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.9669999999999987, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.902000000000001, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.7009999999999934, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.7180000000000035, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.5510000000000019, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.8029999999999973, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.7690000000000055, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , space, 2.9769999999999754, left, 1, 0.6859999999999786, , , , , , , , , , , , navNearLeft.jpg, Go home., left, , , , , navNearLeft.jpg, Go home., left, 0, 0, 0, 2, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.9370000000000118, , , , , , , , , , , , navFarRight.jpg, Go away. , left, , , , , navFarRight.jpg, Go away. , left, 0, 1, 1, 5, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8529999999999802, , , , , , , , , , , , navNearLeft.jpg, Go away. , right, , , , , navNearLeft.jpg, Go away. , right, 0, 2, 2, 6, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.7189999999999941, , , , , , , , , , , , navNearRight.jpg, Go right. , right, , , , , navNearRight.jpg, Go right. , right, 0, 3, 3, 15, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.7690000000000055, , , , , , , , , , , , navFarLeft.jpg, Go home., left, , , , , navFarLeft.jpg, Go home., left, 0, 4, 4, 0, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.5859999999999843, , , , , , , , , , , , navNearRight.jpg, Go left. , left, , , , , navNearRight.jpg, Go left. , left, 0, 5, 5, 11, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8530000000000086, , , , , , , , , , , , navFarRight.jpg, Go left. , right, , , , , navFarRight.jpg, Go left. , right, 0, 6, 6, 9, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8199999999999932, , , , , , , , , , , , navFarLeft.jpg, Go left. , right, , , , , navFarLeft.jpg, Go left. , right, 0, 7, 7, 8, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.9860000000000184, , , , , , , , , , , , navFarRight.jpg, Go right. , left, , , , , navFarRight.jpg, Go right. , left, 0, 8, 8, 13, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8540000000000134, , , , , , , , , , , , navNearLeft.jpg, Go left. , left, , , , , navNearLeft.jpg, Go left. , left, 0, 9, 9, 10, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.9379999999999882, , , , , , , , , , , , navNearRight.jpg, Go away. , left, , , , , navNearRight.jpg, Go away. , left, 0, 10, 10, 7, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.7700000000000102, , , , , , , , , , , , navNearRight.jpg, Go home., right, , , , , navNearRight.jpg, Go home., right, 0, 11, 11, 3, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , right, 1, 0.8520000000000039, , , , , , , , , , , , navFarRight.jpg, Go home., right, , , , , navFarRight.jpg, Go home., right, 0, 12, 12, 1, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , , , , , left, 1, 0.8190000000000168, , , , , , , , , , , , navFarLeft.jpg, Go right. , left, , , , , navFarLeft.jpg, Go right. , left, 0, 13, 13, 12, 43843481, Mon Aug 28 2017 23:40:19 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
