Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.9990000000000006, space, 8.028999999999998, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 10.762, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.6660000000000004, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 35.288000000000004, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 7.762999999999991, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 10.796999999999997, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 7.299999999999997, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 11.313999999999993, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.4480000000000075, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.280000000000001, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.6839999999999975, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.046999999999997, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.4519999999999982, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 7.51400000000001, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , 0, 3.849000000000018, space, 9.72999999999999, left, 4.812000000000012, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 2.080999999999989, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 1.5670000000000073, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.9150000000000205, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 49320823, Sun Aug 20 2017 12:06:43 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
