Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 0.8180000000000005, space, 3.7409999999999997, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:13:54 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 5.596, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:13:54 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.1360000000000028, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:13:54 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.186, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:13:54 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.522000000000002, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:13:54 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.6529999999999987, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:13:54 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.48499999999999943, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:13:54 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.2699999999999996, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:13:54 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.267000000000003, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:13:54 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.8369999999999962, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 64024983, Wed Oct 04 2017 12:13:54 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
