Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.6340000000000003, space, 4.449999999999999, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:47:31 GMT-0400 (EDT), Road_Intersection, 60
, , space, 8.988, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:47:31 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.584999999999997, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:47:31 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.534999999999997, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:47:31 GMT-0400 (EDT), Road_Intersection, 60
, , space, 14.607, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:47:31 GMT-0400 (EDT), Road_Intersection, 60
, , space, 22.745000000000005, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:47:31 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.10199999999999, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:47:31 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.100999999999999, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:47:31 GMT-0400 (EDT), Road_Intersection, 60
, , space, 11.772999999999996, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:47:31 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.850999999999999, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:47:31 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.635000000000005, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 64824344, Sat Oct 21 2017 13:47:31 GMT-0400 (EDT), Road_Intersection, 60
