Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.7839999999999998, space, 2.3480000000000008, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 36, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 6.132999999999996, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 6.484000000000002, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 22.182999999999993, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 31.001000000000005, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 10.36799999999998, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 24.550999999999988, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 10.350999999999999, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 6.916000000000025, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 5.499000000000024, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 3.1170000000000186, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 5.417000000000002, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , space, 35.716999999999985, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , , , 0, 2.849000000000018, space, 6.050999999999988, left, 1.9989999999999952, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , right, 2.8489999999999895, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , right, 3.565999999999974, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , right, 1.6000000000000227, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , left, 1.08299999999997, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , right, 1.4989999999999668, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home., right, 0, 5, 5, 5, navNearRight.jpg, Go home., right, , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , right, 1.2139999999999986, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 6, 6, 6, navNearLeft.jpg, Go away., right, , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
, , , , , , , , left, 1.8489999999999895, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 7, 7, 7, navFarLeft.jpg, Go right., left, , , , , 68116738, Wed Nov 15 2017 16:02:57 GMT-0500 (EST), Road_Intersection, 60
