Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.1659999999999986, space, 2.0500000000000007, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 18.883, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.233000000000004, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.5339999999999989, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.4650000000000034, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 608.767, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.5159999999999627, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.7169999999999845, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.58400000000006, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.615000000000009, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.75, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.25, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.1330000000000382, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.2509999999999764, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 72765732, Tue Sep 05 2017 20:44:13 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
