Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 11.695, space, 4.570999999999998, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 7.1080000000000005, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.454000000000004, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.1529999999999987, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.240000000000002, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 9.043, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.8689999999999998, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.586999999999996, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 3.405000000000001, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.9159999999999968, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.3850000000000051, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.2010000000000076, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.9510000000000076, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.7029999999999887, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , 0, 2.201999999999998, space, 3.554000000000002, left, 1.3840000000000003, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.5660000000000025, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.8190000000000026, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , right, 0.5349999999999966, , , , , , , , , , , , , , , , , navNearRight.jpg, Go home. , right, 0, 3, 3, 3, navNearRight.jpg, Go home. , right, , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , , , , , , , left, 0.5679999999999978, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go left., left, 0, 4, 4, 4, navNearLeft.jpg, Go left., left, , , , , 81058337, Sat Aug 19 2017 21:10:48 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
