Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.6829999999999998, space, 6.184000000000001, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 15.536000000000001, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.9170000000000016, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 6.721000000000004, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 17.569000000000003, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 13.185999999999993, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 6.935000000000002, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 8.718000000000004, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 3.516999999999996, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.700000000000003, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 2.8840000000000003, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.8999999999999915, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.3840000000000003, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , space, 1.4840000000000089, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , , , 0, 3.633999999999986, space, 6.834000000000003, right, 1.4000000000000057, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 1.299999999999983, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 2.216000000000008, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 86763169, Mon Aug 21 2017 09:57:26 GMT-0400 (EDT), Road_Intersection, 60
