Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.0500000000000007, space, 3.476000000000001, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 9.861, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.847999999999999, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.8640000000000043, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.865000000000002, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 6.168999999999997, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 2.269999999999996, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 4.254000000000005, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.8489999999999966, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 0.9320000000000022, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.375, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.1340000000000003, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.5750000000000028, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
, , space, 1.8469999999999942, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 88122088, Fri Aug 18 2017 12:24:38 GMT-0400 (Eastern Daylight Time), Road_Intersection, 60
