Continue.keys, Continue.rt, instructions_response.keys, instructions_response.rt, repeat_response.keys, repeat_response.rt, key_resp_5.keys, key_resp_5.rt, key_resp_2.keys, key_resp_2.rt, key_resp_4.keys, key_resp_4.rt, Trials_response.keys, Trials_response.corr, Trials_response.rt, Block_Continue.keys, Block_Continue.rt, Image, instructions_1_loop.thisRepN, instructions_1_loop.thisTrialN, instructions_1_loop.thisN, instructions_1_loop.thisIndex, instructions_2_repeat.thisRepN, instructions_2_repeat.thisTrialN, instructions_2_repeat.thisN, instructions_2_repeat.thisIndex, stim, prompt, answer, trials_2.thisRepN, trials_2.thisTrialN, trials_2.thisN, trials_2.thisIndex, stim, prompt, answer, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, participant, date, expName, frameRate
space, 1.463000000000001, space, 7.482999999999997, , , , , , , , , , , , , , Slide15.JPG, 0, 0, 0, 0, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 25.522999999999996, , , , , , , , , , , , , , Slide16.JPG, 0, 1, 1, 1, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 6.9339999999999975, , , , , , , , , , , , , , Slide17.JPG, 0, 2, 2, 2, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 9.077999999999989, , , , , , , , , , , , , , Slide18.JPG, 0, 3, 3, 3, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 17.459000000000003, , , , , , , , , , , , , , Slide19.JPG, 0, 4, 4, 4, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 32.57300000000001, , , , , , , , , , , , , , Slide20.JPG, 0, 5, 5, 5, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 16.992999999999995, , , , , , , , , , , , , , Slide21.JPG, 0, 6, 6, 6, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 14.182999999999993, , , , , , , , , , , , , , Slide22.JPG, 0, 7, 7, 7, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 10.425999999999988, , , , , , , , , , , , , , Slide23.JPG, 0, 8, 8, 8, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 5.736999999999995, , , , , , , , , , , , , , Slide24.JPG, 0, 9, 9, 9, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 5.138000000000005, , , , , , , , , , , , , , Slide25.JPG, 0, 10, 10, 10, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 6.086000000000013, , , , , , , , , , , , , , Slide26.JPG, 0, 11, 11, 11, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 4.788000000000011, , , , , , , , , , , , , , Slide27.JPG, 0, 12, 12, 12, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , space, 7.963999999999999, , , , , , , , , , , , , , Slide28.JPG, 0, 13, 13, 13, , , , , , , , , , , , , , , , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , , , 0, 6.883999999999986, space, 12.270999999999987, left, 2.326999999999998, , , , , , , , , , , , , , , , , navFarLeft.jpg, Go right., left, 0, 0, 0, 0, navFarLeft.jpg, Go right., left, , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 1.1959999999999695, , , , , , , , , , , , , , , , , navNearLeft.jpg, Go away., right, 0, 1, 1, 1, navNearLeft.jpg, Go away., right, , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
, , , , , , , , right, 2.0779999999999745, , , , , , , , , , , , , , , , , navFarRight.jpg, Go left., right, 0, 2, 2, 2, navFarRight.jpg, Go left., right, , , , , 92676929, Sun Aug 20 2017 10:37:51 GMT-0400 (EDT), Road_Intersection, 60
